,Pokedex_Number,Name,Type1,Type2,Attack,Defense,Experience_Growth,Base_Egg,Base_Happiness,Base_Total,Capture_Rate,Height_M,Weight_Kg,Generation,Is_Legendary,Hp,Sp_Attack,Sp_Defense,Speed,Abilities,Type,N_Abilities,BMI
118,119,Seaking,Water,NaN,92.0,65.0,1000000.0,5120.0,70.0,450.0,60.0,1.3,39.0,1,0,80.0,65.0,80.0,68.0,"['Swift Swim', 'Water Veil', 'Lightningrod']",Water,3,23.076923076923073
119,120,Staryu,Water,NaN,45.0,55.0,1250000.0,5120.0,70.0,340.0,225.0,0.8,34.5,1,0,30.0,70.0,55.0,85.0,"['Illuminate', 'Natural Cure', 'Analytic']",Water,3,53.90624999999999
120,121,Starmie,Water,Psychic,75.0,85.0,1250000.0,5120.0,70.0,520.0,60.0,1.1,80.0,1,0,60.0,100.0,85.0,115.0,"['Illuminate', 'Natural Cure', 'Analytic']",Water_Psychic,3,66.11570247933884
121,122,Mr. Mime,Psychic,Fairy,45.0,65.0,1000000.0,6400.0,70.0,460.0,45.0,1.3,54.5,1,0,40.0,100.0,120.0,90.0,"['Soundproof', 'Filter', 'Technician']",Psychic_Fairy,3,32.24852071005917
122,123,Scyther,Bug,Flying,110.0,80.0,1000000.0,6400.0,70.0,500.0,45.0,1.5,56.0,1,0,70.0,55.0,80.0,105.0,"['Swarm', 'Technician', 'Steadfast']",Bug_Flying,3,24.88888888888889
123,124,Jynx,Ice,Psychic,50.0,35.0,1000000.0,6400.0,70.0,455.0,45.0,1.4,40.6,1,0,65.0,115.0,95.0,95.0,"['Oblivious', 'Forewarn', 'Dry Skin']",Ice_Psychic,3,20.71428571428572
124,125,Electabuzz,Electric,NaN,83.0,57.0,1000000.0,6400.0,70.0,490.0,45.0,1.1,30.0,1,0,65.0,95.0,85.0,105.0,"['Static', 'Vital Spirit']",Electric,2,24.793388429752063
125,126,Magmar,Fire,NaN,95.0,57.0,1000000.0,6400.0,70.0,495.0,45.0,1.3,44.5,1,0,65.0,100.0,85.0,93.0,"['Flame Body', 'Vital Spirit']",Fire,2,26.33136094674556
126,127,Pinsir,Bug,NaN,155.0,120.0,1250000.0,6400.0,70.0,600.0,45.0,1.5,55.0,1,0,65.0,65.0,90.0,105.0,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",Bug,3,24.444444444444443
127,128,Tauros,Normal,NaN,100.0,95.0,1250000.0,5120.0,70.0,490.0,45.0,1.4,88.4,1,0,75.0,40.0,70.0,110.0,"['Intimidate', 'Anger Point', 'Sheer Force']",Normal,3,45.10204081632654
128,129,Magikarp,Water,NaN,10.0,55.0,1250000.0,1280.0,70.0,200.0,255.0,0.9,10.0,1,0,20.0,15.0,20.0,80.0,"['Swift Swim', 'Rattled']",Water,2,12.345679012345679
129,130,Gyarados,Water,Flying,155.0,109.0,1250000.0,1280.0,70.0,640.0,45.0,6.5,235.0,1,0,95.0,70.0,130.0,81.0,"['Intimidate', 'Moxie']",Water_Flying,2,5.562130177514793
130,131,Lapras,Water,Ice,85.0,80.0,1250000.0,10240.0,70.0,535.0,45.0,2.5,220.0,1,0,130.0,85.0,95.0,60.0,"['Water Absorb', 'Shell Armor', 'Hydration']",Water_Ice,3,35.2
131,132,Ditto,Normal,NaN,48.0,48.0,1000000.0,5120.0,70.0,288.0,35.0,0.3,4.0,1,0,48.0,48.0,48.0,48.0,"['Limber', 'Imposter']",Normal,2,44.44444444444444
132,133,Eevee,Normal,NaN,55.0,50.0,1000000.0,8960.0,70.0,325.0,45.0,0.3,6.5,1,0,55.0,45.0,65.0,55.0,"['Run Away', 'Adaptability', 'Anticipation']",Normal,3,72.22222222222223
133,134,Vaporeon,Water,NaN,65.0,60.0,1000000.0,8960.0,70.0,525.0,45.0,1.0,29.0,1,0,130.0,110.0,95.0,65.0,"['Water Absorb', 'Hydration']",Water,2,29.0
134,135,Jolteon,Electric,NaN,65.0,60.0,1000000.0,8960.0,70.0,525.0,45.0,0.8,24.5,1,0,65.0,110.0,95.0,130.0,"['Volt Absorb', 'Quick Feet']",Electric,2,38.28124999999999
135,136,Flareon,Fire,NaN,130.0,60.0,1000000.0,8960.0,70.0,525.0,45.0,0.9,25.0,1,0,65.0,95.0,110.0,65.0,"['Flash Fire', 'Guts']",Fire,2,30.864197530864196
136,137,Porygon,Normal,NaN,60.0,70.0,1000000.0,5120.0,70.0,395.0,45.0,0.8,36.5,1,0,65.0,85.0,75.0,40.0,"['Trace', 'Download', 'Analytic']",Normal,3,57.031249999999986
137,138,Omanyte,Rock,Water,40.0,100.0,1000000.0,7680.0,70.0,355.0,45.0,0.4,7.5,1,0,35.0,90.0,55.0,35.0,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Rock_Water,3,46.87499999999999
138,139,Omastar,Rock,Water,60.0,125.0,1000000.0,7680.0,70.0,495.0,45.0,1.0,35.0,1,0,70.0,115.0,70.0,55.0,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Rock_Water,3,35.0
139,140,Kabuto,Rock,Water,80.0,90.0,1000000.0,7680.0,70.0,355.0,45.0,0.5,11.5,1,0,30.0,55.0,45.0,55.0,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Rock_Water,3,46.0
140,141,Kabutops,Rock,Water,115.0,105.0,1000000.0,7680.0,70.0,495.0,45.0,1.3,40.5,1,0,60.0,65.0,70.0,80.0,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Rock_Water,3,23.964497041420117
141,142,Aerodactyl,Rock,Flying,135.0,85.0,1250000.0,8960.0,70.0,615.0,45.0,1.8,59.0,1,0,80.0,70.0,95.0,150.0,"['Rock Head', 'Pressure', 'Unnerve']",Rock_Flying,3,18.209876543209877
142,143,Snorlax,Normal,NaN,110.0,65.0,1250000.0,10240.0,70.0,540.0,25.0,2.1,460.0,1,0,160.0,65.0,110.0,30.0,"['Immunity', 'Thick Fat', 'Gluttony']",Normal,3,104.30839002267574
143,144,Articuno,Ice,Flying,85.0,100.0,1250000.0,20480.0,35.0,580.0,3.0,1.7,55.4,1,1,90.0,95.0,125.0,85.0,"['Pressure', 'Snow Cloak']",Ice_Flying,2,19.169550173010382
144,145,Zapdos,Electric,Flying,90.0,85.0,1250000.0,20480.0,35.0,580.0,3.0,1.6,52.6,1,1,90.0,125.0,90.0,100.0,"['Pressure', 'Static']",Electric_Flying,2,20.546874999999996
145,146,Moltres,Fire,Flying,100.0,90.0,1250000.0,20480.0,35.0,580.0,3.0,2.0,60.0,1,1,90.0,125.0,85.0,90.0,"['Pressure', 'Flame Body']",Fire_Flying,2,15.0
146,147,Dratini,Dragon,NaN,64.0,45.0,1250000.0,10240.0,35.0,300.0,45.0,1.8,3.3,1,0,41.0,50.0,50.0,50.0,"['Shed Skin', 'Marvel Scale']",Dragon,2,1.0185185185185184
147,148,Dragonair,Dragon,NaN,84.0,65.0,1250000.0,10240.0,35.0,420.0,45.0,4.0,16.5,1,0,61.0,70.0,70.0,70.0,"['Shed Skin', 'Marvel Scale']",Dragon,2,1.03125
148,149,Dragonite,Dragon,Flying,134.0,95.0,1250000.0,10240.0,35.0,600.0,45.0,2.2,210.0,1,0,91.0,100.0,100.0,80.0,"['Inner Focus', 'Multiscale']",Dragon_Flying,2,43.38842975206611
149,150,Mewtwo,Psychic,NaN,150.0,70.0,1250000.0,30720.0,0.0,780.0,3.0,2.0,122.0,1,1,106.0,194.0,120.0,140.0,"['Pressure', 'Unnerve']",Psychic,2,30.5
150,151,Mew,Psychic,NaN,100.0,100.0,1059860.0,30720.0,100.0,600.0,45.0,0.4,4.0,1,1,100.0,100.0,100.0,100.0,['Synchronize'],Psychic,1,24.999999999999996
151,152,Chikorita,Grass,NaN,49.0,65.0,1059860.0,5120.0,70.0,318.0,45.0,0.9,6.4,2,0,45.0,49.0,65.0,45.0,"['Overgrow', 'Leaf Guard']",Grass,2,7.901234567901234
152,153,Bayleef,Grass,NaN,62.0,80.0,1059860.0,5120.0,70.0,405.0,45.0,1.2,15.8,2,0,60.0,63.0,80.0,60.0,"['Overgrow', 'Leaf Guard']",Grass,2,10.972222222222223
153,154,Meganium,Grass,NaN,82.0,100.0,1059860.0,5120.0,70.0,525.0,45.0,1.8,100.5,2,0,80.0,83.0,100.0,80.0,"['Overgrow', 'Leaf Guard']",Grass,2,31.018518518518515
154,155,Cyndaquil,Fire,NaN,52.0,43.0,1059860.0,5120.0,70.0,309.0,45.0,0.5,7.9,2,0,39.0,60.0,50.0,65.0,"['Blaze', 'Flash Fire']",Fire,2,31.6
155,156,Quilava,Fire,NaN,64.0,58.0,1059860.0,5120.0,70.0,405.0,45.0,0.9,19.0,2,0,58.0,80.0,65.0,80.0,"['Blaze', 'Flash Fire']",Fire,2,23.456790123456788
156,157,Typhlosion,Fire,NaN,84.0,78.0,1059860.0,5120.0,70.0,534.0,45.0,1.7,79.5,2,0,78.0,109.0,85.0,100.0,"['Blaze', 'Flash Fire']",Fire,2,27.508650519031146
157,158,Totodile,Water,NaN,65.0,64.0,1059860.0,5120.0,70.0,314.0,45.0,0.6,9.5,2,0,50.0,44.0,48.0,43.0,"['Torrent', 'Sheer Force']",Water,2,26.38888888888889
158,159,Croconaw,Water,NaN,80.0,80.0,1059860.0,5120.0,70.0,405.0,45.0,1.1,25.0,2,0,65.0,59.0,63.0,58.0,"['Torrent', 'Sheer Force']",Water,2,20.661157024793386
159,160,Feraligatr,Water,NaN,105.0,100.0,1059860.0,5120.0,70.0,530.0,45.0,2.3,88.8,2,0,85.0,79.0,83.0,78.0,"['Torrent', 'Sheer Force']",Water,2,16.78638941398866
160,161,Sentret,Normal,NaN,46.0,34.0,1000000.0,3840.0,70.0,215.0,255.0,0.8,6.0,2,0,35.0,35.0,45.0,20.0,"['Run Away', 'Keen Eye', 'Frisk']",Normal,3,9.374999999999998
161,162,Furret,Normal,NaN,76.0,64.0,1000000.0,3840.0,70.0,415.0,90.0,1.8,32.5,2,0,85.0,45.0,55.0,90.0,"['Run Away', 'Keen Eye', 'Frisk']",Normal,3,10.030864197530864
162,163,Hoothoot,Normal,Flying,30.0,30.0,1000000.0,3840.0,70.0,262.0,255.0,0.7,21.2,2,0,60.0,36.0,56.0,50.0,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Normal_Flying,3,43.26530612244898
163,164,Noctowl,Normal,Flying,50.0,50.0,1000000.0,3840.0,70.0,452.0,90.0,1.6,40.8,2,0,100.0,86.0,96.0,70.0,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Normal_Flying,3,15.937499999999996
164,165,Ledyba,Bug,Flying,20.0,30.0,800000.0,3840.0,70.0,265.0,255.0,1.0,10.8,2,0,40.0,40.0,80.0,55.0,"['Swarm', 'Early Bird', 'Rattled']",Bug_Flying,3,10.8
165,166,Ledian,Bug,Flying,35.0,50.0,800000.0,3840.0,70.0,390.0,90.0,1.4,35.6,2,0,55.0,55.0,110.0,85.0,"['Swarm', 'Early Bird', 'Iron Fist']",Bug_Flying,3,18.16326530612245
166,167,Spinarak,Bug,Poison,60.0,40.0,800000.0,3840.0,70.0,250.0,255.0,0.5,8.5,2,0,40.0,40.0,40.0,30.0,"['Swarm', 'Insomnia', 'Sniper']",Bug_Poison,3,34.0
167,168,Ariados,Bug,Poison,90.0,70.0,800000.0,3840.0,70.0,400.0,90.0,1.1,33.5,2,0,70.0,60.0,70.0,40.0,"['Swarm', 'Insomnia', 'Sniper']",Bug_Poison,3,27.685950413223136
168,169,Crobat,Poison,Flying,90.0,80.0,1000000.0,3840.0,70.0,535.0,90.0,1.8,75.0,2,0,85.0,70.0,80.0,130.0,"['Inner Focus', 'Infiltrator']",Poison_Flying,2,23.148148148148145
169,170,Chinchou,Water,Electric,38.0,38.0,1250000.0,5120.0,70.0,330.0,190.0,0.5,12.0,2,0,75.0,56.0,56.0,67.0,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Water_Electric,3,48.0
170,171,Lanturn,Water,Electric,58.0,58.0,1250000.0,5120.0,70.0,460.0,75.0,1.2,22.5,2,0,125.0,76.0,76.0,67.0,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Water_Electric,3,15.625
171,172,Pichu,Electric,NaN,40.0,15.0,1000000.0,2560.0,70.0,205.0,190.0,0.3,2.0,2,0,20.0,35.0,35.0,60.0,"['Static', 'Lightningrod']",Electric,2,22.22222222222222
172,173,Cleffa,Fairy,NaN,25.0,28.0,800000.0,2560.0,140.0,218.0,150.0,0.3,3.0,2,0,50.0,45.0,55.0,15.0,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Fairy,3,33.333333333333336
173,174,Igglybuff,Normal,Fairy,30.0,15.0,800000.0,2560.0,70.0,210.0,170.0,0.3,1.0,2,0,90.0,40.0,20.0,15.0,"['Cute Charm', 'Competitive', 'Friend Guard']",Normal_Fairy,3,11.11111111111111
174,175,Togepi,Fairy,NaN,20.0,65.0,800000.0,2560.0,70.0,245.0,190.0,0.3,1.5,2,0,35.0,40.0,65.0,20.0,"['Hustle', 'Serene Grace', 'Super Luck']",Fairy,3,16.666666666666668
175,176,Togetic,Fairy,Flying,40.0,85.0,800000.0,2560.0,70.0,405.0,75.0,0.6,3.2,2,0,55.0,80.0,105.0,40.0,"['Hustle', 'Serene Grace', 'Super Luck']",Fairy_Flying,3,8.88888888888889
176,177,Natu,Psychic,Flying,50.0,45.0,1000000.0,5120.0,70.0,320.0,190.0,0.2,2.0,2,0,40.0,70.0,45.0,70.0,"['Synchronize', 'Early Bird', 'Magic Bounce']",Psychic_Flying,3,49.99999999999999
177,178,Xatu,Psychic,Flying,75.0,70.0,1000000.0,5120.0,70.0,470.0,75.0,1.5,15.0,2,0,65.0,95.0,70.0,95.0,"['Synchronize', 'Early Bird', 'Magic Bounce']",Psychic_Flying,3,6.666666666666667
178,179,Mareep,Electric,NaN,40.0,40.0,1059860.0,5120.0,70.0,280.0,235.0,0.6,7.8,2,0,55.0,65.0,45.0,35.0,"['Static', 'Plus']",Electric,2,21.666666666666668
179,180,Flaaffy,Electric,NaN,55.0,55.0,1059860.0,5120.0,70.0,365.0,120.0,0.8,13.3,2,0,70.0,80.0,60.0,45.0,"['Static', 'Plus']",Electric,2,20.781249999999996
180,181,Ampharos,Electric,NaN,95.0,105.0,1059860.0,5120.0,70.0,610.0,45.0,1.4,61.5,2,0,90.0,165.0,110.0,45.0,"['Static', 'Plus']",Electric,2,31.377551020408166
181,182,Bellossom,Grass,NaN,80.0,95.0,1059860.0,5120.0,70.0,490.0,45.0,0.4,5.8,2,0,75.0,90.0,100.0,50.0,"['Chlorophyll', 'Healer']",Grass,2,36.24999999999999
182,183,Marill,Water,Fairy,20.0,50.0,800000.0,2560.0,70.0,250.0,190.0,0.4,8.5,2,0,70.0,20.0,50.0,40.0,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Water_Fairy,3,53.12499999999999
183,184,Azumarill,Water,Fairy,50.0,80.0,800000.0,2560.0,70.0,420.0,75.0,0.8,28.5,2,0,100.0,60.0,80.0,50.0,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Water_Fairy,3,44.53124999999999
184,185,Sudowoodo,Rock,NaN,100.0,115.0,1000000.0,5120.0,70.0,410.0,65.0,1.2,38.0,2,0,70.0,30.0,65.0,30.0,"['Sturdy', 'Rock Head', 'Rattled']",Rock,3,26.38888888888889
185,186,Politoed,Water,NaN,75.0,75.0,1059860.0,5120.0,70.0,500.0,45.0,1.1,33.9,2,0,90.0,90.0,100.0,70.0,"['Water Absorb', 'Damp', 'Drizzle']",Water,3,28.01652892561983
186,187,Hoppip,Grass,Flying,35.0,40.0,1059860.0,5120.0,70.0,250.0,255.0,0.4,0.5,2,0,35.0,35.0,55.0,50.0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Grass_Flying,3,3.1249999999999996
187,188,Skiploom,Grass,Flying,45.0,50.0,1059860.0,5120.0,70.0,340.0,120.0,0.6,1.0,2,0,55.0,45.0,65.0,80.0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Grass_Flying,3,2.7777777777777777
188,189,Jumpluff,Grass,Flying,55.0,70.0,1059860.0,5120.0,70.0,460.0,45.0,0.8,3.0,2,0,75.0,55.0,95.0,110.0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Grass_Flying,3,4.687499999999999
189,190,Aipom,Normal,NaN,70.0,55.0,800000.0,5120.0,70.0,360.0,45.0,0.8,11.5,2,0,55.0,40.0,55.0,85.0,"['Run Away', 'Pickup', 'Skill Link']",Normal,3,17.968749999999996
190,191,Sunkern,Grass,NaN,30.0,30.0,1059860.0,5120.0,70.0,180.0,235.0,0.3,1.8,2,0,30.0,30.0,30.0,30.0,"['Chlorophyll', 'Solar Power', 'Early Bird']",Grass,3,20.0
191,192,Sunflora,Grass,NaN,75.0,55.0,1059860.0,5120.0,70.0,425.0,120.0,0.8,8.5,2,0,75.0,105.0,85.0,30.0,"['Chlorophyll', 'Solar Power', 'Early Bird']",Grass,3,13.281249999999998
192,193,Yanma,Bug,Flying,65.0,45.0,1000000.0,5120.0,70.0,390.0,75.0,1.2,38.0,2,0,65.0,75.0,45.0,95.0,"['Speed Boost', 'Compoundeyes', 'Frisk']",Bug_Flying,3,26.38888888888889
193,194,Wooper,Water,Ground,45.0,45.0,1000000.0,5120.0,70.0,210.0,255.0,0.4,8.5,2,0,55.0,25.0,25.0,15.0,"['Damp', 'Water Absorb', 'Unaware']",Water_Ground,3,53.12499999999999
194,195,Quagsire,Water,Ground,85.0,85.0,1000000.0,5120.0,70.0,430.0,90.0,1.4,75.0,2,0,95.0,65.0,65.0,35.0,"['Damp', 'Water Absorb', 'Unaware']",Water_Ground,3,38.26530612244898
195,196,Espeon,Psychic,NaN,65.0,60.0,1000000.0,8960.0,70.0,525.0,45.0,0.9,26.5,2,0,65.0,130.0,95.0,110.0,"['Synchronize', 'Magic Bounce']",Psychic,2,32.716049382716044
196,197,Umbreon,Dark,NaN,65.0,110.0,1000000.0,8960.0,35.0,525.0,45.0,1.0,27.0,2,0,95.0,60.0,130.0,65.0,"['Synchronize', 'Inner Focus']",Dark,2,27.0
197,198,Murkrow,Dark,Flying,85.0,42.0,1059860.0,5120.0,35.0,405.0,30.0,0.5,2.1,2,0,60.0,85.0,42.0,91.0,"['Insomnia', 'Super Luck', 'Prankster']",Dark_Flying,3,8.4
198,199,Slowking,Water,Psychic,75.0,80.0,1000000.0,5120.0,70.0,490.0,70.0,2.0,79.5,2,0,95.0,100.0,110.0,30.0,"['Oblivious', 'Own Tempo', 'Regenerator']",Water_Psychic,3,19.875
199,200,Misdreavus,Ghost,NaN,60.0,60.0,800000.0,6400.0,35.0,435.0,45.0,0.7,1.0,2,0,60.0,85.0,85.0,85.0,['Levitate'],Ghost,1,2.0408163265306127
200,201,Unown,Psychic,NaN,72.0,48.0,1000000.0,10240.0,70.0,336.0,225.0,0.5,5.0,2,0,48.0,72.0,48.0,48.0,['Levitate'],Psychic,1,20.0
201,202,Wobbuffet,Psychic,NaN,33.0,58.0,1000000.0,5120.0,70.0,405.0,45.0,1.3,28.5,2,0,190.0,33.0,58.0,33.0,"['Shadow Tag', 'Telepathy']",Psychic,2,16.863905325443785
202,203,Girafarig,Normal,Psychic,80.0,65.0,1000000.0,5120.0,70.0,455.0,60.0,1.5,41.5,2,0,70.0,90.0,65.0,85.0,"['Inner Focus', 'Early Bird', 'Sap Sipper']",Normal_Psychic,3,18.444444444444443
203,204,Pineco,Bug,NaN,65.0,90.0,1000000.0,5120.0,70.0,290.0,190.0,0.6,7.2,2,0,50.0,35.0,35.0,15.0,"['Sturdy', 'Overcoat']",Bug,2,20.0
204,205,Forretress,Bug,Steel,90.0,140.0,1000000.0,5120.0,70.0,465.0,75.0,1.2,125.8,2,0,75.0,60.0,60.0,40.0,"['Sturdy', 'Overcoat']",Bug_Steel,2,87.36111111111111
205,206,Dunsparce,Normal,NaN,70.0,70.0,1000000.0,5120.0,70.0,415.0,190.0,1.5,14.0,2,0,100.0,65.0,65.0,45.0,"['Serene Grace', 'Run Away', 'Rattled']",Normal,3,6.222222222222222
206,207,Gligar,Ground,Flying,75.0,105.0,1059860.0,5120.0,70.0,430.0,60.0,1.1,64.8,2,0,65.0,35.0,65.0,85.0,"['Hyper Cutter', 'Sand Veil', 'Immunity']",Ground_Flying,3,53.55371900826445
207,208,Steelix,Steel,Ground,125.0,230.0,1000000.0,6400.0,70.0,610.0,25.0,9.2,400.0,2,0,75.0,55.0,95.0,30.0,"['Rock Head', 'Sturdy', 'Sheer Force']",Steel_Ground,3,4.725897920604916
208,209,Snubbull,Fairy,NaN,80.0,50.0,800000.0,5120.0,70.0,300.0,190.0,0.6,7.8,2,0,60.0,40.0,40.0,30.0,"['Intimidate', 'Run Away', 'Rattled']",Fairy,3,21.666666666666668
209,210,Granbull,Fairy,NaN,120.0,75.0,800000.0,5120.0,70.0,450.0,75.0,1.4,48.7,2,0,90.0,60.0,60.0,45.0,"['Intimidate', 'Quick Feet', 'Rattled']",Fairy,3,24.84693877551021
210,211,Qwilfish,Water,Poison,95.0,85.0,1000000.0,5120.0,70.0,440.0,45.0,0.5,3.9,2,0,65.0,55.0,55.0,85.0,"['Poison Point', 'Swift Swim', 'Intimidate']",Water_Poison,3,15.6
211,212,Scizor,Bug,Steel,150.0,140.0,1000000.0,6400.0,70.0,600.0,25.0,1.8,118.0,2,0,70.0,65.0,100.0,75.0,"['Swarm', 'Technician', 'Light Metal']",Bug_Steel,3,36.41975308641975
212,213,Shuckle,Bug,Rock,10.0,230.0,1059860.0,5120.0,70.0,505.0,190.0,0.6,20.5,2,0,20.0,10.0,230.0,5.0,"['Sturdy', 'Gluttony', 'Contrary']",Bug_Rock,3,56.94444444444445
213,214,Heracross,Bug,Fighting,185.0,115.0,1250000.0,6400.0,70.0,600.0,45.0,1.5,54.0,2,0,80.0,40.0,105.0,75.0,"['Swarm', 'Guts', 'Moxie']",Bug_Fighting,3,24.0
214,215,Sneasel,Dark,Ice,95.0,55.0,1059860.0,5120.0,35.0,430.0,60.0,0.9,28.0,2,0,55.0,35.0,75.0,115.0,"['Inner Focus', 'Keen Eye', 'Pickpocket']",Dark_Ice,3,34.5679012345679
215,216,Teddiursa,Normal,NaN,80.0,50.0,1000000.0,5120.0,70.0,330.0,120.0,0.6,8.8,2,0,60.0,50.0,50.0,40.0,"['Pickup', 'Quick Feet', 'Honey Gather']",Normal,3,24.444444444444446
216,217,Ursaring,Normal,NaN,130.0,75.0,1000000.0,5120.0,70.0,500.0,60.0,1.8,125.8,2,0,90.0,75.0,75.0,55.0,"['Guts', 'Quick Feet', 'Unnerve']",Normal,3,38.82716049382716
217,218,Slugma,Fire,NaN,40.0,40.0,1000000.0,5120.0,70.0,250.0,190.0,0.7,35.0,2,0,40.0,70.0,40.0,20.0,"['Magma Armor', 'Flame Body', 'Weak Armor']",Fire,3,71.42857142857144
218,219,Magcargo,Fire,Rock,50.0,120.0,1000000.0,5120.0,70.0,430.0,75.0,0.8,55.0,2,0,60.0,90.0,80.0,30.0,"['Magma Armor', 'Flame Body', 'Weak Armor']",Fire_Rock,3,85.93749999999999
219,220,Swinub,Ice,Ground,50.0,40.0,1250000.0,5120.0,70.0,250.0,225.0,0.4,6.5,2,0,50.0,30.0,30.0,50.0,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Ice_Ground,3,40.62499999999999
220,221,Piloswine,Ice,Ground,100.0,80.0,1250000.0,5120.0,70.0,450.0,75.0,1.1,55.8,2,0,100.0,60.0,60.0,50.0,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Ice_Ground,3,46.115702479338836
221,222,Corsola,Water,Rock,55.0,95.0,800000.0,5120.0,70.0,410.0,60.0,0.6,5.0,2,0,65.0,65.0,95.0,35.0,"['Hustle', 'Natural Cure', 'Regenerator']",Water_Rock,3,13.88888888888889
222,223,Remoraid,Water,NaN,65.0,35.0,1000000.0,5120.0,70.0,300.0,190.0,0.6,12.0,2,0,35.0,65.0,35.0,65.0,"['Hustle', 'Sniper', 'Moody']",Water,3,33.333333333333336
223,224,Octillery,Water,NaN,105.0,75.0,1000000.0,5120.0,70.0,480.0,75.0,0.9,28.5,2,0,75.0,105.0,75.0,45.0,"['Suction Cups', 'Sniper', 'Moody']",Water,3,35.18518518518518
224,225,Delibird,Ice,Flying,55.0,45.0,800000.0,5120.0,70.0,330.0,45.0,0.9,16.0,2,0,45.0,65.0,45.0,75.0,"['Vital Spirit', 'Hustle', 'Insomnia']",Ice_Flying,3,19.753086419753085
225,226,Mantine,Water,Flying,40.0,70.0,1250000.0,6400.0,70.0,485.0,25.0,2.1,220.0,2,0,85.0,80.0,140.0,70.0,"['Swift Swim', 'Water Absorb', 'Water Veil']",Water_Flying,3,49.88662131519274
226,227,Skarmory,Steel,Flying,80.0,140.0,1250000.0,6400.0,70.0,465.0,25.0,1.7,50.5,2,0,65.0,40.0,70.0,70.0,"['Keen Eye', 'Sturdy', 'Weak Armor']",Steel_Flying,3,17.474048442906575
227,228,Houndour,Dark,Fire,60.0,30.0,1250000.0,5120.0,35.0,330.0,120.0,0.6,10.8,2,0,45.0,80.0,50.0,65.0,"['Early Bird', 'Flash Fire', 'Unnerve']",Dark_Fire,3,30.000000000000004
228,229,Houndoom,Dark,Fire,90.0,90.0,1250000.0,5120.0,35.0,600.0,45.0,1.4,35.0,2,0,75.0,140.0,90.0,115.0,"['Early Bird', 'Flash Fire', 'Unnerve']",Dark_Fire,3,17.85714285714286
229,230,Kingdra,Water,Dragon,95.0,95.0,1000000.0,5120.0,70.0,540.0,45.0,1.8,152.0,2,0,75.0,95.0,95.0,85.0,"['Swift Swim', 'Sniper', 'Damp']",Water_Dragon,3,46.913580246913575
230,231,Phanpy,Ground,NaN,60.0,60.0,1000000.0,5120.0,70.0,330.0,120.0,0.5,33.5,2,0,90.0,40.0,40.0,40.0,"['Pickup', 'Sand Veil']",Ground,2,134.0
231,232,Donphan,Ground,NaN,120.0,120.0,1000000.0,5120.0,70.0,500.0,60.0,1.1,120.0,2,0,90.0,60.0,60.0,50.0,"['Sturdy', 'Sand Veil']",Ground,2,99.17355371900825
232,233,Porygon2,Normal,NaN,80.0,90.0,1000000.0,5120.0,70.0,515.0,45.0,0.6,32.5,2,0,85.0,105.0,95.0,60.0,"['Trace', 'Download', 'Analytic']",Normal,3,90.27777777777779
233,234,Stantler,Normal,NaN,95.0,62.0,1250000.0,5120.0,70.0,465.0,45.0,1.4,71.2,2,0,73.0,85.0,65.0,85.0,"['Intimidate', 'Frisk', 'Sap Sipper']",Normal,3,36.3265306122449
234,235,Smeargle,Normal,NaN,20.0,35.0,800000.0,5120.0,70.0,250.0,45.0,1.2,58.0,2,0,55.0,20.0,45.0,75.0,"['Own Tempo', 'Technician', 'Moody']",Normal,3,40.27777777777778
235,236,Tyrogue,Fighting,NaN,35.0,35.0,1000000.0,6400.0,70.0,210.0,75.0,0.7,21.0,2,0,35.0,35.0,35.0,35.0,"['Guts', 'Steadfast', 'Vital Spirit']",Fighting,3,42.85714285714286
236,237,Hitmontop,Fighting,NaN,95.0,95.0,1000000.0,6400.0,70.0,455.0,45.0,1.4,48.0,2,0,50.0,35.0,110.0,70.0,"['Intimidate', 'Technician', 'Steadfast']",Fighting,3,24.48979591836735
237,238,Smoochum,Ice,Psychic,30.0,15.0,1000000.0,6400.0,70.0,305.0,45.0,0.4,6.0,2,0,45.0,85.0,65.0,65.0,"['Oblivious', 'Forewarn', 'Hydration']",Ice_Psychic,3,37.49999999999999
238,239,Elekid,Electric,NaN,63.0,37.0,1000000.0,6400.0,70.0,360.0,45.0,0.6,23.5,2,0,45.0,65.0,55.0,95.0,"['Static', 'Vital Spirit']",Electric,2,65.27777777777779
